Country,Energy Type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission
World,Nuclear,2001,7732.087000215971,7732.087000215971,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,0
World,Renewables,2001,9216.143248445711,9340.374452124546,67935.205642,6220160.56762,222288409513589.03,20352769766.85232,0
World,All,2002,121322.89779624964,119384.95014815981,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,24463.109021826
World,Coal,2002,29953.5250409416,29758.067958927204,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,9467.45142965988
World,Natural Gas,2002,27566.324259435394,27260.134526903028,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,4754.981620364
World,Petroleum & Other Liquids,2002,46699.197441504446,45114.06278881713,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,10240.675971804989
World,Nuclear,2002,7816.733504141067,7816.733504141067,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,0
World,Renewables,2002,9300.497225782447,9435.951369371396,69813.837803,6298597.4702,224260674528486.53,20232775645.94469,0
World,All,2003,125581.43197614825,124007.31878106161,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,25016.047459541
World,Coal,2003,32452.99054292751,31997.796081034066,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,9714.21755993948
World,Natural Gas,2003,28365.523735295115,28140.023407915785,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,4974.681563292
World,Petroleum & Other Liquids,2003,47700.468055593374,46606.02997897431,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,10327.148336304794
World,Nuclear,2003,7706.410528828957,7706.410528828957,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,0
World,Renewables,2003,9405.600754309202,9557.058784308496,72365.060333,6377289.06582,229268047088179.84,20204620891.75654,0
World,All,2004,132083.94913166197,130547.30827575525,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,26169.805807764
World,Coal,2004,35247.31397250174,34564.0512926865,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,10524.394847466909
World,Natural Gas,2004,29246.971663140317,28923.41000468627,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,5119.268510389
World,Petroleum & Other Liquids,2004,49692.916768542025,48932.13252338574,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,10526.1424499044
World,Nuclear,2004,7985.878483204356,7985.878483204356,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,0
World,Renewables,2004,9948.526332306123,10141.83597179239,76045.707548,6456652.84538,238175350249350.16,20222253201.026196,0
World,All,2005,136363.94864547427,135199.8787120926,79576.34507,6536810.245,242877841133146.78,19951234990.826103,27602.319534239
World,Coal,2005,37603.3577825968,36880.72277124944,79576.34507,6536810.245,242877841133146.78,19951234990.826103,11430.848129136655
World,Natural Gas,2005,30071.11565696601,29908.977577166304,79576.34507,6536810.245,242877841133146.78,19951234990.826103,5279.489805772
World,Petroleum & Other Liquids,2005,50302.86123405394,49754.74533319851,79576.34507,6536810.245,242877841133146.78,19951234990.826103,10891.981599328534
World,Nuclear,2005,8002.2732944282,8002.2732944282,79576.34507,6536810.245,242877841133146.78,19951234990.826103,0
World,Renewables,2005,10450.943295501653,10653.159736050135,79576.34507,6536810.245,242877841133146.78,19951234990.826103,0
World,All,2006,140681.3312939505,138826.90545577518,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,28689.676654606
World,Coal,2006,39692.898129659116,38926.15775728458,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,12196.524590185958
World,Natural Gas,2006,31157.007627923373,31055.241719027563,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,5429.202966814
World,Petroleum & Other Liquids,2006,50990.75325568404,49661.37080053038,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,11063.949097606172
World,Nuclear,2006,8109.399271472404,8109.399271472404,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,0
World,Renewables,2006,10841.109312125047,11074.735907460254,83710.080805,6618223.73697,247485197499217.94,19566489398.73201,0
World,All,2007,144500.32293932745,141366.18323307004,88074.601701,6700371.898,251086933549035.44,19101713785.982967,29632.540125273
World,Coal,2007,41649.86490970826,40662.43746867373,88074.601701,6700371.898,251086933549035.44,19101713785.982967,12869.563102364413
World,Natural Gas,2007,32156.033419006984,31723.85696755558,88074.601701,6700371.898,251086933549035.44,19101713785.982967,5630.349601392
World,Petroleum & Other Liquids,2007,51730.66008243808,49543.52180492063,88074.601701,6700371.898,251086933549035.44,19101713785.982967,11132.627421518871
World,Nuclear,2007,7960.696484838529,7960.696484838529,88074.601701,6700371.898,251086933549035.44,19101713785.982967,0
World,Renewables,2007,11148.902565610062,11475.67050708156,88074.601701,6700371.898,251086933549035.44,19101713785.982967,0
World,All,2008,146472.81752614462,145164.25162604154,90624.603666,6783134.44,251408996471428.38,18817638406.191273,30083.781880617
World,Coal,2008,42410.96758746406,42004.63459545115,90624.603666,6783134.44,251408996471428.38,18817638406.191273,13500.576650228411
World,Natural Gas,2008,33079.742048776745,32723.02187940201,90624.603666,6783134.44,251408996471428.38,18817638406.191273,5811.117852225
World,Petroleum & Other Liquids,2008,51458.443267081995,50276.130881290155,90624.603666,6783134.44,251408996471428.38,18817638406.191273,10772.087378167133
World,Nuclear,2008,7921.829251459681,7921.829251459681,90624.603666,6783134.44,251408996471428.38,18817638406.191273,0
World,Renewables,2008,11809.234549089473,12238.635018438536,90624.603666,6783134.44,251408996471428.38,18817638406.191273,0
World,All,2009,145089.83967277216,144496.5438112025,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,30795.450937338
World,Coal,2009,42741.32038720226,42514.391388345466,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,13748.98292915818
World,Natural Gas,2009,31988.50616489967,32108.126221559804,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,5978.147381183
World,Petroleum & Other Liquids,2009,50607.204190593584,49455.45868576379,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,11068.32062699947
World,Nuclear,2009,7807.90901406753,7807.90901406753,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,0
World,Renewables,2009,12204.332620503428,12610.658501465909,90003.176025,6865794.1842,246037000601415.22,18768664423.10871,0
World,All,2010,154369.46185476438,152025.2420094446,94617.526435,6948810.014,258645636435144.5,18995205817.102222,30621.827233626
